zipCode,medianHouseholdIncome,latitude,longitude
48631,74398,43.688645,-83.995895
48632,57036,43.850411,-85.022782
48633,48261,43.948976,-84.93383
48634,87992,43.759621,-84.035837
48635,57500,44.387169,-83.99443
48636,65870,44.586019,-84.28586
48637,65865,43.413712,-84.33557
48638,69459,43.418925,-84.018242
48640,80574,43.582166,-84.337227
48642,77847,43.702468,-84.235252
48647,47281,44.650682,-84.086078
48649,72609,43.150461,-84.217431
48650,61911,43.849287,-84.013205
48651,43712,44.254775,-84.614813
48652,69766,43.848749,-84.216651
48653,65913,44.490344,-84.605805
48654,45202,44.476724,-84.11752
48655,66115,43.294547,-84.159596
48656,47750,44.354828,-84.461831
48657,72500,43.707391,-84.423081
48658,53750,43.975339,-83.936798
48659,58750,44.065548,-84.050783
48661,61377,44.318406,-84.236213
48662,70321,43.400996,-84.416668
48701,62969,43.586877,-83.557827
48703,64792,44.063642,-83.675914
48705,65104,44.695107,-83.65596
48706,62747,43.603805,-83.955411
48708,50518,43.55706,-83.84968
48720,60250,43.831749,-83.393304
48721,60500,44.79677,-83.32924
48722,66473,43.346724,-83.844762
48723,55779,43.487517,-83.384739
48724,34512,43.457759,-83.926284
48725,60298,43.943956,-83.209593
48726,65087,43.607392,-83.168024
48727,64583,43.306497,-83.181103
48728,46250,44.743789,-83.822123
48729,60776,43.495939,-83.173779
48730,49823,44.349359,-83.487067
48731,53021,43.836579,-83.151845
48732,57903,43.612331,-83.789822
48733,60500,43.534102,-83.593113
48734,91032,43.357562,-83.74851
48735,61364,43.667593,-83.270883
48737,38000,44.549723,-83.712024
48738,63462,44.549569,-83.336163
48739,52802,44.370453,-83.844934
48740,54393,44.663889,-83.372024
48741,59107,43.402479,-83.179873
48742,66477,44.721621,-83.446145
48744,67944,43.348042,-83.359255
48745,49844,44.5637,-83.484031
48746,67276,43.260277,-83.541049
48747,81458,43.518879,-83.764927
48748,58750,44.329236,-83.697641
48749,51544,44.053935,-83.900947
48750,45561,44.435199,-83.472879
48754,77500,43.733157,-83.242375
48755,61964,43.791501,-83.24562
48756,46008,44.233746,-83.973379
48757,73832,43.469859,-83.676311
48759,65222,43.730478,-83.385904
48760,54643,43.317658,-83.252582
48761,47188,44.510924,-83.89171
48762,73421,44.799958,-83.496914
48763,59677,44.246047,-83.613405
48765,45000,44.151556,-83.717952
48766,56583,44.110287,-83.856275
48767,77938,43.650518,-83.463154
48768,64413,43.370353,-83.576451
48770,49957,44.251183,-83.814184
48801,58750,43.378415,-84.676007
48806,61375,43.186204,-84.49531
48807,60825,43.150476,-84.402006
48808,78370,42.826809,-84.452707
48809,71071,43.075299,-85.257962
48811,70625,43.183922,-84.855988
48813,80429,42.573445,-84.845726
48815,85962,42.834371,-85.258585
48816,48978,42.765009,-83.955981
48817,55194,43.013949,-84.042884
48818,55924,43.272681,-84.897851
48819,110833,42.54423,-84.293281
48820,112526,42.863913,-84.592296
48821,107440,42.640388,-84.6513
48822,91299,42.835279,-84.763128
48823,52018,42.764057,-84.459921
48827,78257,42.508448,-84.661278
48829,63750,43.398205,-85.015378
48831,63299,43.096225,-84.372473
48832,73393,43.411883,-84.776582
48834,53958,43.128796,-85.031237
48835,81964,43.024903,-84.749057
48836,90592,42.669319,-84.076583
48837,96517,42.74701,-84.771033
48838,70176,43.182841,-85.258386
48840,73408,42.763138,-84.379361
48841,60156,43.112204,-84.239315
48842,88340,42.635311,-84.539319
48843,94577,42.575579,-83.923381
48845,86042,43.111475,-84.852555
48846,66742,42.986125,-85.057887
48847,66264,43.273232,-84.575579
48848,94519,42.881256,-84.356618
48849,80313,42.797413,-85.127567
48850,68047,43.435272,-85.246061
48851,65726,42.951055,-84.9364
48852,41875,43.352631,-85.046437
48853,51607,43.099962,-84.688515
48854,94716,42.581698,-84.451612
48855,108442,42.681274,-83.8972
48856,91413,43.19719,-84.733504
48857,75455,42.840946,-84.155615
48858,51267,43.616033,-84.795459
48860,50600,43.052972,-84.92172
48861,89412,42.729428,-84.915601
48862,51563,43.249903,-84.548412
48864,121103,42.70417,-84.392139
48865,70039,43.090516,-85.104617
48866,65281,42.993433,-84.382609
48867,59825,43.005586,-84.187626
48870,34290,43.110264,-84.984823
48871,84803,43.156653,-84.673805
48872,79333,42.79865,-84.223099
48873,86250,43.007396,-84.828157
48874,75774,43.186449,-84.594937
48875,94216,42.860813,-84.941448
48876,74594,42.648423,-84.733104
48877,64653,43.403734,-84.840802
48878,57656,43.706091,-84.779864
48879,79129,43.006704,-84.579248
48880,59922,43.458864,-84.578359
48881,78607,42.932743,-85.204349
48883,65223,43.543727,-84.673886
48884,62750,43.209843,-85.049208
48885,71389,43.242912,-85.147939
48886,61667,43.415719,-85.159692
48888,57500,43.314815,-85.106068
48889,60200,43.285072,-84.8069
48890,79444,42.766873,-84.966363
48891,51429,43.395354,-84.911507
48892,89125,42.643735,-84.170035
48893,73108,43.686552,-84.989883
48894,101923,42.925563,-84.792902
48895,93418,42.688915,-84.279784
48896,136136,43.52125,-84.901015
48897,69531,42.703898,-85.130349
48906,64315,42.788027,-84.589435
48910,54712,42.697056,-84.52504
48911,56631,42.672858,-84.5734
48912,54429,42.738361,-84.524017
48915,54465,42.739959,-84.570887
48917,70990,42.725239,-84.639542
48933,33589,42.729373,-84.556242
49001,56432,42.264543,-85.561545
49002,73647,42.197202,-85.555543
49004,73453,42.349081,-85.558418
49006,43639,42.295379,-85.629064
49007,39344,42.302591,-85.588193
49008,74943,42.263643,-85.613247
49009,80930,42.303617,-85.698025
49010,74370,42.532965,-85.871134
49011,59722,42.099005,-85.225472
49012,73125,42.350751,-85.344597
49013,55349,42.302382,-86.100335
49014,69009,42.309994,-85.10697
49015,68821,42.278204,-85.229231
49017,60885,42.391685,-85.201106
49021,82959,42.460434,-85.054743
49022,39499,42.112591,-86.373377
49024,91105,42.206513,-85.617997
49026,68203,42.376862,-85.963435
49027,108333,42.350328,-86.067386
49028,60127,41.844036,-85.179964
49029,75188,42.140731,-85.089143
49030,69167,41.865948,-85.338879
49031,66944,41.903528,-85.976781
49032,66420,41.911488,-85.52287
49033,94750,42.227502,-85.088714
49034,73929,42.234273,-85.330521
49036,62259,41.90548,-85.031277
49037,42690,42.334561,-85.249172
